Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",121471,4587,4825,1634,1226,1086,1410,1834,1769,2286,4375,1535,3420,2382,3701,3364,2544,18802,4251,3315,12074,4960,29138,5974,436,543
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",155043,9260,4822,2678,2020,1092,2738,2621,2136,3403,2113,3934,4019,3531,5544,5519,2309,27354,3859,2873,15048,5064,29188,11827,1556,535
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",145815,5902,3190,2799,1610,1293,2337,2127,1431,1428,2452,1796,3731,1840,1933,3132,1565,11622,1990,3799,10148,5855,38266,23392,8905,3272
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",116418,5185,3994,2373,1793,1343,817,1685,1196,758,1206,489,855,2115,2015,2155,1258,8702,1043,1931,6512,3005,30782,23214,8244,3748
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",136870,5600,3710,3076,1315,1327,3410,2379,1294,3330,2346,1223,3016,1576,2914,2862,2916,21458,2879,3749,13470,6387,27751,14123,3858,901
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",121320,5332,6208,2620,1040,1189,1372,2463,2415,3343,2787,2338,3414,2453,3589,5872,2387,28686,6040,5820,10988,7183,10797,2212,676,96
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",171314,8961,7316,3247,2676,2001,2540,2159,2313,2899,3536,3955,4858,5179,5240,4808,4371,47542,6558,5638,17901,7492,14246,4557,709,612
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",195191,6333,8435,2702,2401,2328,3293,2309,3159,3059,4743,3534,4111,5112,3456,3693,3428,35687,7593,5984,23835,11526,29951,14669,2573,1277
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",135895,3955,2890,2758,1607,1244,1132,1695,1694,1984,3008,2055,1864,2367,2254,4776,3684,30845,4817,3965,18442,10278,18669,8664,941,307
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",111666,4034,2995,1534,2245,666,928,659,788,1387,1023,1472,1859,3556,2627,4422,3429,18742,2729,4191,15827,4882,21524,7590,1783,774
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",132827,5440,8863,2971,1856,2122,3241,2387,2074,4612,5118,3046,3269,9512,3017,2790,4838,18198,3000,2144,8254,3650,20553,9982,848,1042
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",125426,5435,6605,1842,2377,912,2168,1802,1966,2133,3970,1598,3406,2122,2269,3318,1905,20036,2048,3472,9452,5587,25858,10308,3254,1583
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",138446,10463,6651,2807,3938,3844,2699,2552,1758,3285,3953,3431,4889,4312,2844,3230,4866,28779,1935,3342,10721,3868,14503,7244,1768,764
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",154732,5769,7221,2250,2016,1569,2081,1972,1974,2933,2331,3907,3179,4327,2768,4007,3584,25232,4868,4333,17185,7850,25723,12234,3802,1617
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",157990,5891,5165,2673,1679,1978,2235,2023,2550,3379,3904,3137,3360,3087,2206,2705,3532,28000,9797,3667,13551,8660,26578,13069,2988,2176
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",186689,6761,13174,2971,2331,2447,3006,3367,2148,3845,8778,4024,5290,5129,4045,3260,4483,32831,3339,5608,15174,11063,27807,12607,2413,788
