Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",168647,4042,4606,2769,2664,1762,1994,2305,2391,1807,3850,1972,1969,3216,3155,4552,2042,22991,2094,10197,25542,15307,27793,13898,2534,3195
"Los Angeles County (East Central)--Pomona City PUMA, California",151108,6873,8082,3235,2093,2557,1534,2901,3789,3033,9160,3369,3945,5373,3976,5413,3898,26593,1813,7757,22673,7718,11047,3450,561,265
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",112371,2663,4535,1550,837,845,1261,1674,1979,2024,2302,1194,2670,2625,1839,1581,3123,16115,1641,5762,20043,6573,22112,5562,1720,141
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",111831,3539,6528,1111,582,1100,868,1007,1616,1648,2750,3554,1733,3467,1312,1017,1398,16650,1402,3490,13334,6360,27397,6440,1936,1592
"Los Angeles County (East Central)--West Covina City PUMA, California",119418,3700,4850,1703,2084,1209,2023,3273,2090,2967,4554,1916,912,2872,2510,3027,3232,24485,2510,6426,16304,6050,15763,4083,672,203
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",113562,4116,7529,1631,1137,1111,1487,1540,1313,1589,6078,1368,3803,4196,3797,3634,3684,26546,2296,5110,15615,4308,9260,1748,370,296
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",191401,6542,6719,2471,3460,2125,2067,2850,2300,2953,3807,2469,3003,4446,3780,2903,3709,31930,3086,4744,19259,10989,41964,15036,5843,2946
"Los Angeles County (Central)--Pasadena City PUMA, California",139218,5446,4565,2496,1153,1347,1085,1629,2182,2372,4138,2360,2429,2471,1583,1817,1613,17871,1211,4719,15887,7517,29650,14134,5927,3616
"Los Angeles County (Central)--Glendale City PUMA, California",200728,4974,5102,1779,3043,1750,3045,2460,3208,1132,5054,3565,3251,4703,3421,3121,3041,33940,1939,4403,25666,20476,41090,16009,2709,1847
"Los Angeles County (Central)--Burbank City PUMA, California",117697,3637,1211,1976,1545,1559,815,1619,1855,1532,1394,1521,1118,2341,1830,1723,1756,14694,1637,7171,16740,8347,28984,8943,2598,1151
"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",133300,3733,3976,1887,919,1444,2493,2451,1407,2477,3469,1769,3082,2860,2415,3729,3279,18831,1997,6433,20330,9842,27378,5676,1063,360
"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California",162103,7349,8494,3283,2552,1056,2416,3207,2891,2803,6710,3644,3052,3364,4057,4111,2771,26485,1455,6754,21666,9542,23963,6204,3094,1180
"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California",155312,6458,8662,1799,1882,2086,2562,4122,2769,4368,8898,2799,3724,7424,5223,5125,4031,27369,2136,5629,20512,6598,17438,2639,810,249
"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",184742,6306,7380,2804,1777,2259,2583,3467,2598,2985,4768,3859,2745,2510,4514,2850,5215,30070,2422,8228,26438,11204,29717,12184,4766,1093
"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California",190125,5878,8343,2546,2630,1970,2716,4365,3102,3788,6585,1799,3291,3400,2661,3190,4305,28198,2545,7885,23210,10533,36238,13815,4252,2880
